Country,corruption,employment,HDI,life_exp,pop_dens,ppp,prosperity,a,b,c,d
Saudi Arabia,47.44241273,51.19518141,0.839521582,74.20872727,13.9255606,52795.43945,56.47936146,-194.4256953,2.267588167,0.096839709,3.840784988
Senegal,39.24593545,43.42363635,0.492556726,65.15972727,71.89274493,3218.178273,48.66710039,-23.10948433,1.567657286,0.087028712,2.275914088
Serbia,38.73890455,43.17090919,0.779278159,74.79977827,81.95642268,15575.341,59.29761332,-42.44782203,2.648453767,0.145146712,2.262756859
Singapore,86.96985364,65.08154609,0.920885698,81.90731707,7553.988818,89362.94445,78.27538295,18.13818389,3.000900783,0.080378977,0.250869454
Slovakia,47.51965182,52.66445403,0.842975333,75.92017738,112.5555901,30713.63782,68.65124945,-154.0344361,1.45362783,0.054199751,4.524177041
Slovenia,60.60953364,53.50918198,0.886608531,80.03104213,102.0128249,32527.70791,72.60432134,-571.0650934,1.50930903,0.036334936,5.865922016
Solomon Islands,35.72340286,70.33436307,0.542982298,71.26227273,20.50684335,2060.865,,,,,
South Africa,43.70934273,40.21909055,0.68349082,59.573,44.28337731,13024.89345,56.89804344,-324.122393,2.721004591,0.080946718,4.285591686
South Sudan,13.14285714,63.81027291,0.427985728,55.52609091,,1900.0171,32.36992463,,,,
Spain,60.11781818,46.53372713,0.87772988,82.35011086,93.10840894,36082.66736,73.46124428,-2286.101244,2.990930337,0.115716403,3.532849792
Sri Lanka,36.17743273,51.34736356,0.764785647,75.80872727,330.2980516,11678.71127,55.24623599,-5.951184161,3.039946048,0.081120984,-1.326197312
Sweden,88.36226182,59.00090894,0.921313848,81.75809313,23.62447326,49080.76818,82.8374848,-105.5325624,2.140837166,0.096788261,1.87718041
Switzerland,86.27424909,64.74145473,0.937892716,82.68314856,204.8141232,60116.72436,82.54550316,-2374.743602,5.062821467,0.078033406,5.496903605
Taiwan,61.12392,,,,,47534.59127,74.0795489,5.41385387,0.578914076,0.078728903,0.850278706
Tajikistan,22.97426273,38.51009057,0.640464794,69.22254545,58.10194453,2873.643727,48.269326,,,,
Thailand,35.89182182,69.58963568,0.739607015,74.91763636,133.2531367,17039.36773,59.20291615,-6.850292187,0.486966037,0.114238988,0.203058248
Togo,28.98376182,76.67918257,0.490564222,58.37945455,128.0968778,1547.674091,39.89005698,-10.24488999,1.982288684,0.068844956,1.360766351
Tonga,30.46398,59.07654537,0.703534867,70.25609091,142.3559343,5458.048,,,,,
Trinidad and Tobago,37.70024818,59.95009128,0.790843022,72.31981818,263.7316853,32295.29764,60.62649425,-3719.763586,272.823338,0.001444623,2.611324652
Tunisia,41.05390818,39.55518202,0.726374872,75.40127273,70.6060686,11497.96618,54.97099284,-31.2066217,1.15647041,0.121561852,2.54341411
Turkey,43.36987364,45.00109031,0.777173407,75.29918182,98.87833823,23852.64664,56.4808348,-1065.020087,2.871205448,0.178692117,4.881804244
Turkmenistan,18.09379364,62.19772755,0.694619504,67.02318182,11.44113495,15917.59982,51.41252571,,,,
Uganda,25.93990636,69.22945404,0.505619948,58.68718182,179.9379766,2281.713545,44.55602901,-2293.277433,5.492112024,0.001719627,6.034004342
Ukraine,26.72443182,49.87918195,0.741359909,70.40685144,78.44104345,8769.964909,53.50229411,-22.72262457,2.004421632,0.190161046,0.446322192
United Arab Emirates,68.29353455,81.4555456,0.843792071,76.71209091,125.1879714,65517.175,66.02814497,14.78404246,0.024462188,0.161328369,0.297717153
United Kingdom,78.15916727,58.34236388,0.910403362,80.63059867,265.224167,42021.35627,79.53211875,-254.6597906,1.003268564,0.152889674,0.970657561
United States,72.94153,58.51972788,0.915144765,78.51751663,34.54743151,57086.449,77.31713403,-2017.11922,1.373649206,0.161504863,0.643131525
Uruguay,70.94950909,60.31754511,0.794227318,76.98127273,19.37910421,20869.16327,66.99334398,-999.8577066,3.664136965,0.022623099,5.595789265
Vanuatu,39.71614333,66.44181754,0.589214393,69.42154545,21.1163174,2686.383091,,,,,
Venezuela,18.35408818,58.86945516,0.755268441,72.85390909,33.01966143,15856.673,46.06171473,-22956.80753,25.51529638,0.000334904,6.802339295
Vietnam,31.33125727,75.90936487,0.672943355,74.92072727,292.8659124,6249.536545,53.97027078,2.968406166,0.415331895,0.078909864,0.833631274
West Bank and Gaza,,32.62418192,0.681328166,73.04790909,677.1579432,,,11.82765624,1.401690114,0.115839017,1.427495177
Yemen,18.25486091,33.30436377,0.492016144,65.654,47.66359452,3041.623818,34.16264606,,,,
Andorra,,,,,,,,-56.64837793,2.343810065,0.093309084,2.476262928
Monaco,,,,,,,,-5.979163909,1.392202781,0.09222055,0.856809846
